name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
A98_lung_right_VOI-02_5.055um_bm18,A98_lung_right_complete-organ_21.64um_bm18,1900.0,3454.0,2818.0,3202.0,4876.0,4098.0,,2778.304550248733,4059.5609555620454,3439.0127282102007,-1.2999108862543989,0.23359504668315506,-0.16215220527995403
A98_lung_right_VOI-03_5.055um_bm18,A98_lung_right_complete-organ_21.64um_bm18,2100.0,2812.0,1390.0,3258.0,4738.0,6998.0,"Point okay, registration bad",,,,,,
PUoB1_placenta_VOI-1_2.195um_bm18,PUoB1_placenta_complete-organ_20.026um_bm18,,,,,,,,,,,,,
PUoB2_placenta_VOI-2_2.195um_bm18,PUoB2_placenta_complete-organ_20.026um_bm18,,,,,,,,,,,,,
PUoB3_placenta_VOI-1_2.195um_bm18,PUoB3_placenta_complete-organ_20.026um_bm18,,,,,,,,,,,,,
PUoB3_placenta_VOI-2_2.195um_bm18,PUoB3_placenta_complete-organ_20.026um_bm18,,,,,,,,,,,,,
PL19_heart_VOI-01_4.14um_bm18,PL19_heart_complete-organ_19.19um_bm18,,,,,,,,,,,,,
PL19_heart_VOI-02_4.14um_bm18,PL19_heart_complete-organ_19.19um_bm18,,,,,,,,,,,,,
PL19_heart_VOI-03_4.14um_bm18,PL19_heart_complete-organ_19.19um_bm18,,,,,,,,,,,,,
PL19_heart_VOI-04_4.14um_bm18,PL19_heart_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A138_lung_VOI-02_4.388um_bm18,A138_lung_complete-organ_24.028um_bm18,,,,,,,,,,,,,
A138_lung_VOI-03_4.388um_bm18,A138_lung_complete-organ_24.028um_bm18,,,,,,,,,,,,,
A138_lung_VOI-04_4.388um_bm18,A138_lung_complete-organ_24.028um_bm18,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-aa_0.65um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-01.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-01.2b_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-02.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2830.0,1531.0,9495.0,1439.0,1849.0,4582.0,,1199.8460767456922,1729.1126260428284,3784.0994369230298,1.7002339252181466,0.08415481376670611,-0.1930881698504742
FO-20-129_lung_left_upper_lobe_VOI-03.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-04.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1645.0,3079.0,15127.0,653.0,1737.0,4898.0,,511.8966950877511,1462.1541977478028,3567.7332157785463,-1.1001302195652043,0.08792065738441676,-0.17588311480060953
FO-20-129_lung_left_upper_lobe_VOI-05.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,975.0,1602.0,25325.0,2165.0,1611.0,4332.0,,2081.6101979710515,1469.1879047474629,2105.8862750183807,-1.4000687136867085,0.08792103345587314,-0.25554133152679054
FO-20-129_lung_left_upper_lobe_VOI-08.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-09.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-10.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-03b-bis_2.2um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-aa-bis_2.2um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-01_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-02_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2269.0,2991.0,6776.0,737.0,1940.0,4508.0,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-03_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-04_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,,,,,,,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-05_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2011.0,1682.0,2887.0,703.0,728.0,2506.0,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-sx20_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2510.0,3222.0,12601.0,1720.0,1259.0,4372.0,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-04-bis_6.5um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,,,,,,,,,,,,,
